"name","url","hasComponents","hasVoiceAndTone","hasDesignersKit","hasSourceCode"
"Adobe Spectrum","https://spectrum.adobe.com","True","True","True","True"
"Alfa-Bank","https://design.alfabank.ru","True","False","True","True"
"Alibaba Ant Design","https://ant.design","True","True","True","True"
"Appear Here Styleguide","https://bloom.appearhere.co.uk/","True","False","False","True"
"Apple Developer Design Guidelines","https://developer.apple.com/design/","False","False","True","False"
"Aragon UI","https://ui.aragon.org/","True","False","False","True"
"Artsy Palette","https://palette.artsy.net/","True","False","False","True"
"Astro UXDS","https://astrouxds.com/","True","False","True","True"
"AT UIKIT","https://at-ui.github.io/at-ui/#/en","True","False","False","True"
"Atlassian Design System","https://atlassian.design","True","True","True","True"
"Audi UI Kit","https://www.audi.com/ci/en/guides/user-interface/introduction.html","True","False","True","True"
"Aurora (Government of Canada)","https://design.gccollab.ca/","True","True","True","True"
"Australian Government Design System","https://designsystem.gov.au/","True","False","True","True"
"AutoGuru Overdrive","http://overdrive.autoguru.io/","True","False","False","True"
"Backpack (Skyscanner)","https://skyscanner.design/","True","True","True","True"
"Barnardo’s Design System","https://design-system.barnardos.org.uk","True","True","False","True"
"Basis Design System","https://basis.now.sh","True","False","False","True"
"BBC GEL (Global Experience Language)","https://www.bbc.co.uk/gel","True","True","True","False"
"BLiP","https://design.blip.ai/","True","False","False","True"
"Bold (Bridge Design System)","https://bold.bridge.ufsc.br/","True","False","True","True"
"Blueprint","https://blueprintjs.com/","True","False","True","True"
"Braid Design System","https://seek-oss.github.io/braid-design-system/","True","False","False","True"
"Buildit Gravity","http://style.buildit.digital/","True","False","False","True"
"Bulb Design System","https://design.bulb.co.uk/","True","True","False","False"
"BuzzFeed Solid","https://solid.buzzfeed.com/","True","False","True","True"
"Bumbag UI","https://bumbag.style/","True","False","False","True"
"Duet Design System","https://www.duetds.com/","True","False","True","True"
"eBay Skin","https://ebay.github.io/skin/","True","False","False","True"
"Enigma Boundless","https://boundless.js.org/","True","False","False","True"
"CA Technologies Mineral UI","https://mineral-ui.com/","True","False","False","True"
"Cards Binary Design","https://github.com/opensource-cards/binary-ui","True","True","True","True"
"CBRE Blocks","https://blocks.cbrebuild.com/","True","True","False","False"
"Cedar","https://rei.github.io/rei-cedar-docs/","True","False","True","True"
"Chakra UI","https://chakra-ui.com/","True","False","False","True"
"Cloudflare","https://cloudflare.github.io/cf-ui/","True","False","False","True"
"City of Boston Fleet","https://github.com/CityOfBoston/digital/wiki/Fleet","True","True","False","True"
"Co-op Design Manual","https://coop-design-manual.herokuapp.com/","True","True","True","True"
"Contentful Forma 36","https://f36.contentful.com/","True","True","True","True"
"Decentraland UI","https://ui.decentraland.org/","True","False","False","True"
"Duet","https://www.duetds.com","True","False","True","False"
"ENGIE Fluid Design System","https://www.engie.design","True","False","True","False"
"Estonia Country Design Guidelines","https://brand.estonia.ee","True","True","True","False"
"Elastic UI Framework","https://elastic.github.io/eui/","True","True","True","True"
"Evergreen","https://evergreen.surge.sh","True","False","False","True"
"Figma UI Components","https://figma-ui.lessmess.dev/","True","False","False","True"
